question,gold,majority_pred,zeroshot_pred,finetuned_pred,avg_em,avg_f1
"What has roots that nobody sees, is taller than trees, up it goes, and yet never grows?",A mountain,A keyboard,"What has roots that nobody sees, is taller than trees, up",a mountain,1.0,1.0
What has a heart but no other organs?,A deck of cards,A keyboard,What has a heart but no other organs?,a book,0.0,0.3333333333333333
What has a head and a tail but no body?,A coin,A keyboard,"Was hat Kopf und Tail, aber kein Körper?",a coin,1.0,1.0
"I'm light as a feather, yet the strongest person can't hold me for much longer than a minute. What am I?",Breath,A keyboard,"I'm light as a feather, yet the strongest person can'",breath,1.0,1.0
What has a thumb and four fingers but is not alive?,A glove,A keyboard,"Was hat ein thumb und vier Finger, aber nicht lebendig?",a glove,1.0,1.0
What has a neck but no head?,A bottle,A keyboard,riddle: Was has a neck but no head?,a bottle,1.0,1.0
What can fill a room but takes up no space?,Light,A keyboard,riddle: What can fill a room but takes up no space?,a vacuum,0.6666666666666666,0.6666666666666666
What has many needles but doesn’t sew?,A Christmas tree,A keyboard,"Was hat viele nadeln, aber ne sewn",a cactus,0.0,0.4000000000000001
What goes up and down but doesn't move?,Stairs,A keyboard,"Was steigt und stößt, aber es löst",stairs,1.0,1.0
I have a head and a tail that will never meet. Having too many of me is always a treat. What am I?,A coin,A keyboard,: I have a head and a tail that will never meet.,a coin,1.0,1.0
What has a face and two hands but no arms or legs?,A clock,A keyboard,"Was hat ein Gesicht und zwei Hände, aber keine Armen oder Beine",a clock,1.0,1.0
What has legs but doesn't walk?,A table,A keyboard,"Was hat die Beine, aber nicht geht?",a table,1.0,1.0
"What has a mouth but doesn't eat, has a bank but no money?",A river,A keyboard,"What has a mouth but doesn't eat, has a",a bank,0.6666666666666666,0.8333333333333334
"What has keys that open no locks, space but no room, and you can enter but not go in?",A keyboard,A keyboard,"Was hat Schlüssel, die keine locks, keinen Raum, keinen Raum",a keyboard,1.0,1.0
What has a mouth but never speaks?,A river,A keyboard,: Was hat a mouth but never speaks?,a river,0.3333333333333333,0.6666666666666666
What's full of holes but still holds water?,A sponge,A keyboard,dle: What's full of holes but still holds water?,a sponge,1.0,1.0
"What has branches but no fruit, trunk or leaves?",A bank,A keyboard,"Warum gibt es branches, aber keine Früchte, keinen trunk,",a bank,1.0,1.0
What has a neck but no head?,A bottle,A keyboard,riddle: Was has a neck but no head?,a bottle,1.0,1.0
What goes up but never comes down?,Age,A keyboard,"riddle: Was steigt, aber nie fällt down?",your age,0.6666666666666666,0.8888888888888888
What has many needles but doesn't sew?,A pine tree,A keyboard,"Was hat viele nadeln, aber ne sewn",a cactus,0.0,0.4000000000000001
What gets bigger when you take away from it?,A hole,A keyboard,": Was nimmt größer, wenn man es nimmt?",a hole,1.0,1.0
What gets wetter as it dries?,A towel,A keyboard,"riddle: Was nimmt schmutzii, wenn es",a towel,1.0,1.0
What has legs but doesn't walk?,A table,A keyboard,"Was hat die Beine, aber nicht geht?",a table,1.0,1.0
What has a face and two hands but no arms or legs?,A clock,A keyboard,"Was hat ein Gesicht und zwei Hände, aber keine Armen oder Beine",a clock,1.0,1.0
What has a neck but no head?,A bottle,A keyboard,riddle: Was has a neck but no head?,a bottle,1.0,1.0
I’m tall when I’m young and short when I’m old. What am I?,A candle,A keyboard,: I’m tall when I’m young and short when I’,a candle,1.0,1.0
What is so fragile that saying its name breaks it?,Silence,A keyboard,       ,silence,1.0,1.0
What invention lets you look right through a wall?,A window,A keyboard,"Welche invention bietet Ihnen die Möglichkeit, durch einen wall zu schauen?",a window,1.0,1.0
What runs around the whole yard without moving?,A fence,A keyboard,Was läuft in der yard ohne Bewegung?,a fence,1.0,1.0
"I have branches, but no fruit, trunk or leaves. What am I?",A bank,A keyboard,": I have branches, but no fruit, trunk or leaves.",a bank,1.0,1.0
What can travel around the world while staying in a corner?,A stamp,A keyboard,: What can travel around the world while staying in a corner?,a stamp,1.0,1.0
"What can you break, even if you never pick it up or touch it?",A promise,A keyboard,"Règlement: Was kann man brechen, wenn man nie e",a promise,1.0,1.0
What gets wetter and wetter the more it dries?,A towel,A keyboard,"riddle: Was gewinns wetter und wetter,",a towel,1.0,1.0
What can fill a room but takes up no space?,Light,A keyboard,riddle: What can fill a room but takes up no space?,a vacuum,0.6666666666666666,0.6666666666666666
What gets bigger when you take away from it?,A hole,A keyboard,": Was nimmt größer, wenn man es nimmt?",a hole,1.0,1.0
What can be broken without being touched?,A heart,A keyboard,riddle: Was kann gebrochen ohne rühren?,a promise,0.0,0.5
"I am not alive, but I grow; I don't have lungs, but I need air; I don't have a mouth, but water kills me. What am I?",Fire,A keyboard,": I am not alive, but I grow; I don't have",fire,1.0,1.0
What can fly without wings?,Time,A keyboard,: Was kann z Ohne wings?,a fly,0.0,0.0
I'm always hungry; I must always be fed. The finger I touch will soon turn red. What am I?,Fire,A keyboard,: I'm always hungry; I must always be fed. The finger,fire,1.0,1.0
What goes up but never comes down?,Your age,A keyboard,"riddle: Was steigt, aber nie fällt down?",your age,0.3333333333333333,0.7777777777777777
"I'm full of holes, but I still hold water. What am I?",A sponge,A keyboard,": I'm full of holes, but I still hold water.",a sponge,1.0,1.0
What can you break without touching it?,A promise,A keyboard,: Was can break without touching it?,a promise,1.0,1.0
"What has a mouth but doesn't eat, has a bank but no money?",A river,A keyboard,"What has a mouth but doesn't eat, has a",a bank,0.6666666666666666,0.8333333333333334
"I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?",A map,A keyboard,": I have cities, but no houses. I have mountains, but no",a map,1.0,1.0
